year,site,bare_ground,crypt,litter
1997,d37412,2.5,2.5,17.5
1997,d37420,2.5,2.5,2.5
1997,d37422,17.5,17.5,2.5
1997,d37427,17.5,2.5,0
1997,d37428,17.5,37.5,2.5
1997,d37431,17.5,2.5,37.5
1997,d37432,17.5,37.5,2.5
1997,d37433,17.5,37.5,17.5
1997,d37436,37.5,17.5,17.5
1997,d37437,17.5,37.5,17.5
1997,d37439,37.5,17.5,17.5
1997,d37440,37.5,17.5,17.5
1997,d37441,37.5,17.5,17.5
1997,d37442,17.5,17.5,2.5
1997,d37443,17.5,17.5,17.5
1997,d37444,17.5,17.5,2.5
1997,d37445,17.5,17.5,17.5
1997,d37447,17.5,37.5,2.5
1997,d37448,37.5,37.5,2.5
1997,d37449,37.5,2.5,17.5
1997,d37450,17.5,2.5,2.5
1997,d37451,17.5,37.5,2.5
1997,d37452,17.5,17.5,2.5
1997,d37453,17.5,17.5,2.5
1997,d37457,17.5,17.5,17.5
1997,d37458,17.5,17.5,2.5
1997,d37459,2.5,0,2.5
1997,d37460,17.5,37.5,17.5
1997,d37468,17.5,2.5,37.5
1997,d37469,17.5,2.5,17.5
1997,d37470,17.5,2.5,17.5
1997,d37471,2.5,2.5,17.5
1997,d37472,17.5,37.5,2.5
1997,d37473,37.5,17.5,2.5
1997,d37474,17.5,2.5,2.5
1997,d37475,17.5,37.5,2.5
1997,d37477,17.5,17.5,17.5
1997,d37478,17.5,2.5,17.5
1997,d37479,17.5,0,2.5
1997,d37480,17.5,2.5,17.5
1997,d37481,2.5,2.5,37.5
1997,d37482,17.5,37.5,2.5
1997,d37483,17.5,17.5,2.5
1997,d37486,17.5,17.5,2.5
1997,d37487,17.5,17.5,2.5
1997,d37488,17.5,17.5,2.5
1997,d37489,17.5,17.5,2.5
1997,d37490,17.5,37.5,2.5
1997,d37491,17.5,2.5,2.5
1997,d37492,2.5,37.5,2.5
1997,d37493,37.5,2.5,2.5
1997,d37496,37.5,17.5,2.5
1997,d37497,17.5,17.5,17.5
1997,d37506,2.5,0,2.5
1997,d37507,17.5,37.5,2.5
2021,d37412,62.5,2.5,0.1
2021,d37420,2.5,17.5,2.5
2021,d37422,2.5,17.5,2.5
2021,d37427,17.5,17.5,2.5
2021,d37428,17.5,2.5,2.5
2021,d37431,0.1,2.5,2.5
2021,d37432,2.5,17.5,0.1
2021,d37433,17.5,37.5,0.1
2021,d37436,2.5,17.5,0.1
2021,d37437,2.5,17.5,0.1
2021,d37439,0.1,17.5,0.1
2021,d37440,0,17.5,37.5
2021,d37441,2.5,37.5,2.5
2021,d37442,17.5,2.5,37.5
2021,d37443,37.5,17.5,17.5
2021,d37444,17.5,2.5,17.5
2021,d37445,37.5,2.5,37.5
2021,d37447,17.5,17.5,2.5
2021,d37448,17.5,2.5,0.1
2021,d37449,62.5,0.1,17.5
2021,d37450,17.5,0.1,17.5
2021,d37451,17.5,17.5,2.5
2021,d37452,17.5,62.5,0.1
2021,d37453,17.5,0.1,37.5
2021,d37457,17.5,2.5,0.1
2021,d37458,37.5,17.5,2.5
2021,d37459,62.5,0.1,17.5
2021,d37460,0.1,17.5,0.1
2021,d37468,37.5,2.5,2.5
2021,d37469,37.5,2.5,17.5
2021,d37470,62.5,2.5,2.5
2021,d37471,62.5,0.1,2.5
2021,d37472,62.5,37.5,0.1
2021,d37473,37.5,17.5,0.1
2021,d37474,37.5,2.5,2.5
2021,d37475,37.5,17.5,0.1
2021,d37477,17.5,0.1,2.5
2021,d37478,62.5,0.1,17.5
2021,d37479,2.5,0.1,17.5
2021,d37480,0.1,2.5,2.5
2021,d37481,2.5,0.1,0.1
2021,d37482,17.5,17.5,0.1
2021,d37483,17.5,17.5,0.1
2021,d37486,17.5,37.5,0.1
2021,d37487,17.5,37.5,0.1
2021,d37488,37.5,17.5,0.1
2021,d37489,37.5,2.5,17.5
2021,d37490,37.5,2.5,17.5
2021,d37491,62.5,2.5,0.1
2021,d37492,37.5,2.5,0.1
2021,d37493,37.5,0.1,2.5
2021,d37496,62.5,0.1,2.5
2021,d37497,17.5,2.5,17.5
2021,d37506,2.5,0.1,17.5
2021,d37507,2.5,37.5,0.1