community,site,lat,lon,ele
grey,d37420,-36.11700503,144.26734,92.349579
grey,d37422,-36.11493797,144.26325,95.697128
grey,d37480,-36.11171496,144.297034,95.685066
grey,d37479,-36.11169904,144.292008,93.818817
grey,d37481,-36.110543,144.298314,98.587341
grey,d37492,-36.11021301,144.312179,94.681999
grey,d37493,-36.10985401,144.316832,90.755135
grey,d37497,-36.10909503,144.330707,95.373474
grey,d37496,-36.10895698,144.325338,94.738747
red,d37439,-36.10793003,144.273177,95.471405
red,d37440,-36.10780003,144.270719,91.236168
grey,d37477,-36.10755502,144.296755,93.89875
red,d37483,-36.10728404,144.316604,89.223068
grey,d37491,-36.10660502,144.330712,91.164879
grey,d37506,-36.10656001,144.292268,95.469711
grey,d37427,-36.10650997,144.27012,92.833527
red,d37487,-36.10576197,144.3216,90.647202
grey,d37437,-36.10558402,144.275977,92.384277
grey,d37489,-36.105509,144.328033,92.614471
grey,d37428,-36.10511497,144.270717,93.511482
red,d37507,-36.10449504,144.319197,91.278778
grey,d37490,-36.10444098,144.329677,90.896576
red,d37486,-36.10413797,144.320522,90.740814
grey,d37478,-36.10397897,144.303229,93.431068
grey,d37475,-36.10378099,144.307542,93.141029
red,d37473,-36.10367303,144.294247,91.274818
grey,d37488,-36.10346298,144.326681,93.807877
red,d37460,-36.10343004,144.290751,95.342079
grey,d37459,-36.10244701,144.288607,91.909073
red,d37436,-36.10233301,144.27954,90.306412
grey,d37474,-36.102273,144.304054,94.515266
grey,d37468,-36.10174301,144.296446,91.973358
red,d37458,-36.10108503,144.292757,93.080032
grey,d37469,-36.100935,144.300924,93.525597
grey,d37471,-36.10052797,144.308021,91.685646
grey,d37431,-36.09952399,144.27011,95.548965
red,d37472,-36.09944897,144.313278,93.572571
grey,d37470,-36.099153,144.307712,94.253632
grey,d37432,-36.09780402,144.274424,89.118851
red,d37433,-36.09685703,144.281226,91.727386
grey,d37453,-36.09515299,144.268706,91.832222
grey,d37448,-36.09511997,144.260445,93.25396
red,d37452,-36.09434204,144.267611,92.131866
grey,d37447,-36.09291402,144.261571,90.373802
grey,d37444,-36.09184398,144.261488,90.583336
red,d37451,-36.09154299,144.266316,94.659248
grey,d37445,-36.09150301,144.262548,92.431969
red,d37442,-36.09127603,144.258457,94.64463
grey,d37449,-36.08928096,144.266955,91.731522
grey,d37450,-36.0892,144.27141,88.760963
grey,d37443,-36.08870999,144.260011,88.44635
grey,d37412,-36.12444,144.26083,
grey,d37441,-36.10944,144.26722,
grey,d37482,-36.10472,144.31472,
red,d37457,-36.09972,144.28861,