species,grass.type,origin,type,lifeform,Family
Aira.spp.,n,exotic,annual,grass,Poaceae
Alternanthera.denticulata,n,native,perennial,forb,Amaranthaceae
Arctotheca.calendula,n,exotic,annual,forb,Asteraceae
Arthropodium.fimbriatum,n,native,perennial,geophyte,Asparagaceae
Arthropodium.minus,n,native,perennial,geophyte,Asparagaceae
Asperula.conferta,n,native,perennial,forb,Rubiaceae
Atriplex.semibaccata,n,native,perennial,subshrub,Chenopodioideae
Austrostipa.aristiglumis,C3,native,perennial,grass,Poaceae
Austrostipa.bigeniculata,C3,native,perennial,grass,Poaceae
Austrostipa.blackii,C3,native,perennial,grass,Poaceae
Austrostipa.gibbosa,C3,native,perennial,grass,Poaceae
Austrostipa.oligostachya,C3,native,perennial,grass,Poaceae
Austrostipa.scabra,C3,native,perennial,grass,Poaceae
Austrostipa.spp.,C3,native,perennial,grass,Poaceae
Avena.barbata,C3,exotic,annual,grass,Poaceae
Avena.fatua,C3,exotic,annual,grass,Poaceae
Bellardia.latifolia,n,exotic,annual,forb,Orobanchaceae
Brachypodium.distachyon,C3,exotic,annual,grass,Poaceae
Bromus.diandrus,C3,exotic,annual,grass,Poaceae
Bromus.hordeaceus,C3,exotic,annual,grass,Poaceae
Bromus.madritensis,C3,exotic,annual,grass,Poaceae
Bromus.rubens,C3,exotic,annual,grass,Poaceae
Bulbine.bulbosa,n,native,perennial,geophyte,Asphodelaceae
Calocephalus.sonderi,n,native,annual,forb,Asteraceae
Calotis.scabiosifolia,n,native,perennial,forb,Asteraceae
Carthamus.lanatus,n,exotic,annual,forb,Asteraceae
Cheilanthes.spp.,n,native,perennial,fern,Pteridaceae
Chenopodium.desertorum.subsp..virosum,n,native,perennial,forb,Chenopodioideae
Chloris.truncata,C4,native,perennial,grass,Poaceae
Chrysocephalum.apiculatum,n,native,perennial,forb,Asteraceae
Convolvulus.spp.,n,native,perennial,forb,Convolvulaceae
Cotula.bipinnata,n,exotic,annual,forb,Asteraceae
Crassula.spp.,n,native,annual,forb,Crassulaceae
Cressa.australis,n,native,perennial,forb,Convolvulaceae
Daucus.glochidiatus,n,native,annual,forb,Apiaceae
Eleocharis.acuta,n,native,perennial,gram,Cyperaceae
Enteropogon.acicularis,C4,native,perennial,grass,Poaceae
Eriochiton.sclerolaenoides,n,native,perennial,forb,Chenopodioideae
Eriochlamys.squamata,n,native,annual,forb,Asteraceae
Erodium.botrys,n,exotic,annual,forb,Geraniaceae
Eucalyptus.melliodora,n,native,perennial,tree,Myrtaceae
Euphorbia.dallachyana,n,native,perennial,forb,Euphorbiaceae
Goodenia.gracilis,n,native,perennial,forb,Goodeniaceae
Goodenia.pinnatifida,n,native,annual,forb,Goodeniaceae
Goodenia.pusilliflora,n,native,annual,forb,Goodeniaceae
Hordeum.leporinum,C3,exotic,annual,grass,Poaceae
Hordeum.marinum,C4,exotic,annual,grass,Poaceae
Hyalosperma.glutinosum.subsp..glutinosum,n,native,annual,forb,Asteraceae
Hypochaeris.glabra,n,exotic,annual,forb,Asteraceae
Hypochaeris.radicata,n,exotic,perennial,forb,Asteraceae
Isoetopsis.graminifolia,n,native,annual,forb,Asteraceae
Juncus.radula,n,native,perennial,gram,Juncaceae
Juncus.sp.,n,native,perennial,gram,Juncaceae
Leontodon.rhagadioloides,n,exotic,annual,forb,Asteraceae
Leptorhynchos.orientalis,n,native,annual,forb,Asteraceae
Leptorhynchos.squamatus,n,native,perennial,forb,Asteraceae
Leptorhynchos.tetrachaetus,n,native,annual,forb,Asteraceae
Linum.marginale,n,native,perennial,forb,Linaceae
Lolium.rigidum,C3,exotic,annual,grass,Poaceae
Lomandra.effusa,n,native,perennial,gram,Asparagaceae
Maireana.decalvans,n,native,perennial,subshrub,Chenopodioideae
Maireana.enchylaenoides,n,native,perennial,forb,Chenopodioideae
Maireana.excavata,n,native,perennial,forb,Chenopodioideae
Maireana.humillima,n,native,perennial,forb,Chenopodioideae
Maireana.pentagona,n,native,perennial,forb,Chenopodioideae
Medicago.minima,n,exotic,annual,forb,Fabaceae
Medicago.polymorpha,n,exotic,annual,forb,Fabaceae
Medicago.truncatula,n,exotic,annual,forb,Fabaceae
Microseris.walteri,n,native,perennial,geophyte,Asteraceae
Moraea.setifolia,n,exotic,perennial,geophyte,Iridaceae
Oxalis.perennans,n,native,perennial,forb,Oxalidaceae
Parapholis.incurva,C3,exotic,annual,grass,Poaceae
Pauridia.glabella.var..glabella,n,native,perennial,geophyte,Hypoxidaceae
Pentamiris.aireoides,C3,exotic,annual,grass,Poaceae
Plantago.coronopus,n,exotic,perennial,forb,Plantaginaceae
Plantago.drummondii,n,native,perennial,forb,Plantaginaceae
Pogonolepis.muelleriana,n,native,annual,forb,Asteraceae
Polypogon.monspeliensis,C3,exotic,annual,grass,Poaceae
Ptilotus.macrocephalus,n,native,perennial,forb,Amaranthaceae
Ptilotus.semilanatus,n,native,perennial,forb,Amaranthaceae
Ptilotus.spathulatus,n,native,perennial,forb,Amaranthaceae
Rhodanthe.corymbiflora,n,native,annual,forb,Asteraceae
Rhodanthe.pygmaea,n,native,annual,forb,Asteraceae
Romulea.minutiflora,n,exotic,perennial,geophyte,Iridaceae
Romulea.rosea,n,exotic,perennial,geophyte,Iridaceae
Rostraria.cristata,C3,exotic,annual,grass,Poaceae
Rumex.brownii,n,native,perennial,forb,Polygonaceae
Rumex.spp.,n,native,perennial,forb,Polygonaceae
Rytidosperma.caespitosum,C3,native,perennial,grass,Poaceae
Rytidosperma.duttonianum,C3,native,perennial,grass,Poaceae
Rytidosperma.erianthum,C3,native,perennial,grass,Poaceae
Rytidosperma.setaceum,C3,native,perennial,grass,Poaceae
Salsola.tragus,n,native,annual,forb,Chenopodioideae
Sclerolaena.diacantha,n,native,perennial,subshrub,Chenopodioideae
Scorzonera.laciniata.var..calcitrapifolia,n,exotic,perennial,forb,Asteraceae
Sida.corrugata,n,native,perennial,subshrub,Malvaceae
Sida.trichopoda,n,native,perennial,subshrub,Malvaceae
Solanum.esuriale,n,native,perennial,forb,Solanaceae
Sonchus.oleraceus,n,exotic,annual,forb,Asteraceae
Spergularia.rubra,n,exotic,perennial,forb,Caryophyllaceae
Swainsona.murrayana,n,native,perennial,forb,Fabaceae
Swainsona.plagiotropis,n,native,perennial,forb,Fabaceae
Swainsona.procumbens,n,native,perennial,forb,Fabaceae
Teucrium.racemosum,n,native,perennial,forb,Lamiaceae
Trifolium.angustifolium.var..angustifolium,n,exotic,annual,forb,Fabaceae
Trifolium.arvense.var..arvense,n,exotic,annual,forb,Fabaceae
Trifolium.cernuum,n,exotic,annual,forb,Fabaceae
Trifolium.dubium,n,exotic,annual,forb,Fabaceae
Trifolium.glomeratum,n,exotic,annual,forb,Fabaceae
Trifolium.spp.,n,exotic,annual,forb,Fabaceae
Trifolium.subterraneum,n,exotic,annual,forb,Fabaceae
Triptilodiscus.pygmaeus,n,native,annual,forb,Asteraceae
Vittadinia.cuneata.s.l.,n,native,perennial,forb,Asteraceae
Vulpia.bromoides,C3,exotic,annual,grass,Poaceae
Vulpia.muralis,C3,exotic,annual,grass,Poaceae
Vulpia.myuros,C3,exotic,annual,grass,Poaceae
Wahlenbergia.gracilenta,n,native,annual,forb,Campanulaceae
Walwhalleya.proluta,C3,native,perennial,grass,Poaceae
Wurmbea.latifolia.subsp..vanessae,n,native,perennial,geophyte,Colchicaceae